"Ernests Gulbis","Richard Gasquet",12,5
"Richard Gasquet","Ivan Dodig",13,8
"Richard Gasquet","Blaz Kavcic",12,6
"Ernests Gulbis","Roberto Bautista Agut",17,14
"Roberto Bautista Agut","Dustin Brown",17,14
"Rafael Nadal","Alexandr Dolgopolov",13,9
"Rafael Nadal","Pablo Andujar",15,15
"Alexandr Dolgopolov","David Ferrer",12,8
"Rafael Nadal","Joao Sousa",12,1
"David Ferrer","Thomaz Bellucci",16,12
"Alexandr Dolgopolov","Fabio Fognini",12,2
"Rafael Nadal","Albert Montanes",12,3
"David Ferrer","Federico Delbonis",13,7
"Fabio Fognini","Pablo Cuevas",17,15
"Joao Sousa","Albert Ramos-Vinolas",15,15
"Rafael Nadal","Daniel Gimeno-Traver",13,8
"David Ferrer","Jeremy Chardy",12,5
"Fabio Fognini","Aljaz Bedene",13,13
"Joao Sousa","Marcel Granollers",15,14
"Martin Klizan","Guillermo Garcia-Lopez",17,16
"Albert Ramos-Vinolas","Leonardo Mayer",12,2
"Grigor Dimitrov","Kevin Anderson",17,18
"Grigor Dimitrov","Andy Murray",18,18
"Kevin Anderson","Alexandr Dolgopolov",17,12
"Kevin Anderson","David Ferrer",6,8
"Andy Murray","Gilles Simon",14,14
"Grigor Dimitrov","Ernests Gulbis",18,17
"Alexandr Dolgopolov","Ivo Karlovic",13,10
"David Ferrer","Feliciano Lopez",13,8
"Andy Murray","Joao Sousa",12,7
"Grigor Dimitrov","Marcos Baghdatis",12,5
"Kevin Anderson","Sam Querrey",13,10
"Gilles Simon","Donald Young",12,7
"Ernests Gulbis","David Goffin",16,13
"Ivo Karlovic","Dudi Sela",13,8
"David Ferrer","Mikhail Kukushkin",12,5
"Andy Murray","Pablo Andujar",15,9
"Ivo Karlovic","John Isner",14,12
"Grigor Dimitrov","Marinko Matosevic",13,6
"Kevin Anderson","Stephane Robert",13,8
"Gilles Simon","Tim Smyczek",12,3
"David Goffin","Lukasz Kubot",14,14
"Feliciano Lopez","Edouard Roger-Vasselin",12,6
"Joao Sousa","Adrian Mannarino",13,10
"David Goffin","Dominic Thiem",16,13
"Dominic Thiem","Takanyi Garanganga",12,5
"David Goffin","Mauricio Astorga",12,1
"Roger Federer","Tomas Berdych",15,13
"Roger Federer","Novak Djokovic",15,11
"Tomas Berdych","Philipp Kohlschreiber",14,10
"Novak Djokovic","Mikhail Youzhny",0,0
"Tomas Berdych","Jo-Wilfried Tsonga",12,7
"Roger Federer","Lukas Rosol",12,4
"Philipp Kohlschreiber","Malek Jaziri",12,5
"Novak Djokovic","Roberto Bautista Agut",12,4
"Tomas Berdych","Sergiy Stakhovsky",12,3
"Roger Federer","Radek Stepanek",18,12
"Philipp Kohlschreiber","Andreas Seppi",12,6
"Novak Djokovic","Denis Istomin",12,6
"Tomas Berdych","Marius Copil",12,7
"Roger Federer","Benjamin Becker",12,5
"Philipp Kohlschreiber","Thiemo de Bakker",12,6
"Roberto Bautista Agut","Adrian Ungur",12,4
"Juan Monaco","Albert Ramos-Vinolas",16,17
"Rogerio Dutra Silva","Guillermo Garcia-Lopez",14,14
"Albert Ramos-Vinolas","Gastao Elias",15,11
"Novak Djokovic","Roger Federer",16,15
"Novak Djokovic","John Isner",19,13
"Roger Federer","Alexandr Dolgopolov",12,4
"Novak Djokovic","Julien Benneteau",12,4
"Roger Federer","Kevin Anderson",13,6
"Alexandr Dolgopolov","Milos Raonic",12,7
"John Isner","Ernests Gulbis",14,12
"Novak Djokovic","Marin Cilic",13,11
"Kevin Anderson","Stan Wawrinka",17,13
"Milos Raonic","Andy Murray",17,14
"Roger Federer","Tommy Haas",12,8
"John Isner","Fernando Verdasco",16,15
"Alexandr Dolgopolov","Fabio Fognini",12,6
"Ernests Gulbis","Roberto Bautista Agut",17,14
"Julien Benneteau","Feliciano Lopez",13,9
"Alexandr Dolgopolov","Rafael Nadal",16,15
"Novak Djokovic","Alejandro Gonzalez",15,8
"Stan Wawrinka","Andreas Seppi",12,2
"Andy Murray","Jiri Vesely",18,15
"Roger Federer","Dmitry Tursunov",14,12
"Fernando Verdasco","Richard Gasquet",13,7
"Milos Raonic","Alejandro Falla",12,7
"Tommy Haas","Kei Nishikori",13,8
"John Isner","Yen-Hsun Lu",12,7
"Fabio Fognini","Gael Monfils",16,13
"Ernests Gulbis","Grigor Dimitrov",15,12
"Marin Cilic","Tommy Robredo",12,7
"Kevin Anderson","Evgeny Donskoy",16,9
"Roberto Bautista Agut","Jarkko Nieminen",17,14
"Julien Benneteau","Dominic Thiem",13,9
"Feliciano Lopez","Mikhail Kukushkin",13,13
"Rafael Nadal","Radek Stepanek",15,15
"Novak Djokovic","Victor Hanescu",13,8
"Stan Wawrinka","Ivo Karlovic",13,8
"Roberto Bautista Agut","Tomas Berdych",16,12
"Andy Murray","Lukas Rosol",16,11
"Roger Federer","Paul-Henri Mathieu",13,8
"Richard Gasquet","Teymuraz Gabashvili",8,0
"Milos Raonic","Edouard Roger-Vasselin",18,18
"John Isner","Nikolay Davydenko",13,9
"Fabio Fognini","Ryan Harrison",17,12
"Grigor Dimitrov","Robin Haase",12,7
"Kevin Anderson","Lleyton Hewitt",13,10
"Kei Nishikori","Santiago Giraldo",12,4
"Ernests Gulbis","Joao Sousa",12,6
"Dominic Thiem","Gilles Simon",13,8
"Yen-Hsun Lu","Philipp Kohlschreiber",12,4
"Gael Monfils","Sergiy Stakhovsky",12,6
"Marin Cilic","Paolo Lorenzi",12,4
"Feliciano Lopez","James Ward",15,12
"Roberto Bautista Agut","Steve Johnson",12,6
"Nikolay Davydenko","David Goffin",18,18
